REPORTING_PERIOD_START,PRIMARY_LEVEL_DESCRIPTION,MEASURE_NAME,MEASURE_VALUE
01/10/2021,England,Bed days in RP,747923
01/10/2021,NHS NORTHUMBERLAND CCG,Bed days in RP,3520
01/10/2021,NHS SOUTH TYNESIDE CCG,Bed days in RP,2180
01/10/2021,NHS SUNDERLAND CCG,Bed days in RP,4040
01/10/2021,NHS BLACKBURN WITH DARWEN CCG,Bed days in RP,3345
01/10/2021,NHS BLACKPOOL CCG,Bed days in RP,2225
01/10/2021,NHS BOLTON CCG,Bed days in RP,4270
01/10/2021,NHS BURY CCG,Bed days in RP,5290
01/10/2021,NHS CHORLEY AND SOUTH RIBBLE CCG,Bed days in RP,2420
01/10/2021,NHS OLDHAM CCG,Bed days in RP,3690
01/10/2021,NHS EAST LANCASHIRE CCG,Bed days in RP,7110
01/10/2021,"NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG",Bed days in RP,3995
01/10/2021,NHS GREATER PRESTON CCG,Bed days in RP,5905
01/10/2021,NHS HALTON CCG,Bed days in RP,1315
01/10/2021,NHS SALFORD CCG,Bed days in RP,5400
01/10/2021,NHS NORTH CUMBRIA CCG,Bed days in RP,3860
01/10/2021,NHS KNOWSLEY CCG,Bed days in RP,2240
01/10/2021,NHS MORECAMBE BAY CCG,Bed days in RP,3220
01/10/2021,NHS SOUTH SEFTON CCG,Bed days in RP,1830
01/10/2021,NHS SOUTHPORT AND FORMBY CCG,Bed days in RP,1115
01/10/2021,NHS STOCKPORT CCG,Bed days in RP,5315
01/10/2021,NHS ST HELENS CCG,Bed days in RP,1995
01/10/2021,NHS TAMESIDE AND GLOSSOP CCG,Bed days in RP,3270
01/10/2021,NHS TRAFFORD CCG,Bed days in RP,2950
01/10/2021,NHS WARRINGTON CCG,Bed days in RP,7070
01/10/2021,NHS WEST LANCASHIRE CCG,Bed days in RP,540
01/10/2021,NHS WIGAN BOROUGH CCG,Bed days in RP,4975
01/10/2021,NHS FYLDE AND WYRE CCG,Bed days in RP,1190
01/10/2021,NHS BARNSLEY CCG,Bed days in RP,3575
01/10/2021,NHS BASSETLAW CCG,Bed days in RP,2435
01/10/2021,NHS CALDERDALE CCG,Bed days in RP,2750
01/10/2021,NHS DONCASTER CCG,Bed days in RP,4850
01/10/2021,NHS EAST RIDING OF YORKSHIRE CCG,Bed days in RP,3410
01/10/2021,NHS HULL CCG,Bed days in RP,3115
01/10/2021,NHS NORTH EAST LINCOLNSHIRE CCG,Bed days in RP,2460
01/10/2021,NHS NORTH LINCOLNSHIRE CCG,Bed days in RP,1160
01/10/2021,NHS ROTHERHAM CCG,Bed days in RP,3550
01/10/2021,NHS SHEFFIELD CCG,Bed days in RP,6665
01/10/2021,NHS VALE OF YORK CCG,Bed days in RP,3415
01/10/2021,NHS WAKEFIELD CCG,Bed days in RP,4800
01/10/2021,NHS EAST LEICESTERSHIRE AND RUTLAND CCG,Bed days in RP,4920
01/10/2021,NHS LEICESTER CITY CCG,Bed days in RP,4780
01/10/2021,NHS WEST LEICESTERSHIRE CCG,Bed days in RP,3000
01/10/2021,NHS CANNOCK CHASE CCG,Bed days in RP,805
01/10/2021,NHS EAST STAFFORDSHIRE CCG,Bed days in RP,1095
01/10/2021,NHS NORTH STAFFORDSHIRE CCG,Bed days in RP,4695
01/10/2021,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA CCG,Bed days in RP,1225
01/10/2021,NHS STAFFORD AND SURROUNDS CCG,Bed days in RP,1265
01/10/2021,NHS STOKE ON TRENT CCG,Bed days in RP,4420
01/10/2021,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,Bed days in RP,7885
01/10/2021,NHS EAST AND NORTH HERTFORDSHIRE CCG,Bed days in RP,6600
01/10/2021,NHS IPSWICH AND EAST SUFFOLK CCG,Bed days in RP,3170
01/10/2021,NHS HERTS VALLEYS CCG,Bed days in RP,9070
01/10/2021,NHS MID ESSEX CCG,Bed days in RP,3565
01/10/2021,NHS NORTH EAST ESSEX CCG,Bed days in RP,5390
01/10/2021,NHS THURROCK CCG,Bed days in RP,1370
01/10/2021,NHS WEST ESSEX CCG,Bed days in RP,3020
01/10/2021,NHS WEST SUFFOLK CCG,Bed days in RP,3090
01/10/2021,NHS BRIGHTON AND HOVE CCG,Bed days in RP,4885
01/10/2021,NHS OXFORDSHIRE CCG,Bed days in RP,6710
01/10/2021,NHS PORTSMOUTH CCG,Bed days in RP,1435
01/10/2021,NHS DORSET CCG,Bed days in RP,8090
01/10/2021,NHS GLOUCESTERSHIRE CCG,Bed days in RP,6800
01/10/2021,NHS KERNOW CCG,Bed days in RP,4470
01/10/2021,NHS SOMERSET CCG,Bed days in RP,5895
01/10/2021,NHS WIRRAL CCG,Bed days in RP,965
01/10/2021,NHS NEWCASTLE GATESHEAD CCG,Bed days in RP,5925
01/10/2021,NHS MANCHESTER CCG,Bed days in RP,15390
01/10/2021,NHS BUCKINGHAMSHIRE CCG,Bed days in RP,4350
01/10/2021,NHS BERKSHIRE WEST CCG,Bed days in RP,5205
01/10/2021,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",Bed days in RP,11400
01/10/2021,NHS BIRMINGHAM AND SOLIHULL CCG,Bed days in RP,21960
01/10/2021,NHS LEEDS CCG,Bed days in RP,12345
01/10/2021,NHS DERBY AND DERBYSHIRE CCG,Bed days in RP,13420
01/10/2021,NHS DEVON CCG,Bed days in RP,12920
01/10/2021,NHS TEES VALLEY CCG,Bed days in RP,11175
01/10/2021,NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG,Bed days in RP,6080
01/10/2021,NHS NORFOLK AND WAVENEY CCG,Bed days in RP,10385
01/10/2021,NHS CHESHIRE CCG,Bed days in RP,1715
01/10/2021,NHS BRADFORD DISTRICT AND CRAVEN CCG,Bed days in RP,9965
01/10/2021,NHS SOUTH WEST LONDON CCG,Bed days in RP,17490
01/10/2021,NHS NORTH YORKSHIRE CCG,Bed days in RP,3090
01/10/2021,NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG,Bed days in RP,20260
01/10/2021,NHS WEST SUSSEX CCG,Bed days in RP,10405
01/10/2021,NHS LINCOLNSHIRE CCG,Bed days in RP,7310
01/10/2021,NHS SOUTH EAST LONDON CCG,Bed days in RP,27335
01/10/2021,NHS NORTHAMPTONSHIRE CCG,Bed days in RP,10715
01/10/2021,NHS COUNTY DURHAM CCG,Bed days in RP,6145
01/10/2021,NHS KENT AND MEDWAY CCG,Bed days in RP,16515
01/10/2021,NHS SURREY HEARTLANDS CCG,Bed days in RP,11220
01/10/2021,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",Bed days in RP,7280
01/10/2021,NHS NORTH CENTRAL LONDON CCG,Bed days in RP,25670
01/10/2021,NHS EAST SUSSEX CCG,Bed days in RP,7700
01/10/2021,NHS LIVERPOOL CCG,Bed days in RP,8705
01/10/2021,NHS NORTH TYNESIDE CCG,Bed days in RP,2490
01/10/2021,NHS BASILDON AND BRENTWOOD CCG,Bed days in RP,2860
01/10/2021,NHS CASTLE POINT AND ROCHFORD CCG,Bed days in RP,995
01/10/2021,NHS SOUTHEND CCG,Bed days in RP,2180
01/10/2021,NHS NORTH EAST LONDON CCG,Bed days in RP,27540
01/10/2021,NHS COVENTRY AND WARWICKSHIRE CCG,Bed days in RP,12700
