01/01/2022,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,Bed days in RP,215
01/01/2022,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,Bed days in RP,220
01/01/2022,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,Bed days in RP,240
01/01/2022,NEWMARKET HOUSE HEALTHCARE LTD,Bed days in RP,280
01/01/2022,WHITTINGTON HEALTH NHS TRUST,Bed days in RP,345
01/01/2022,BRAMLEY HEALTH,Bed days in RP,385
01/01/2022,ACTIVE PATHWAYS,Bed days in RP,415
01/01/2022,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,Bed days in RP,445
01/01/2022,RIVERDALE GRANGE LIMITED,Bed days in RP,450
01/01/2022,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,Bed days in RP,600
01/01/2022,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,Bed days in RP,640
01/01/2022,EQUILIBRIUM HEALTHCARE,Bed days in RP,650
01/01/2022,NEWBRIDGE CARE SYSTEMS,Bed days in RP,795
01/01/2022,SOLENT NHS TRUST,Bed days in RP,965
01/01/2022,ELLERN MEDE,Bed days in RP,990
01/01/2022,MAKING SPACE,Bed days in RP,1025
01/01/2022,ST MARTHA'S,Bed days in RP,1120
01/01/2022,ISLE OF WIGHT NHS TRUST,Bed days in RP,1185
01/01/2022,JOHN MUNROE HOSPITAL,Bed days in RP,1300
01/01/2022,NAVIGO HEALTH AND SOCIAL CARE CIC,Bed days in RP,1715
01/01/2022,CHESWOLD PARK HOSPITAL,Bed days in RP,2405
01/01/2022,ST MAGNUS HOSPITAL,Bed days in RP,2420
01/01/2022,LIVEWELL SOUTHWEST,Bed days in RP,2770
01/01/2022,INMIND HEALTHCARE - HEAD OFFICE,Bed days in RP,3500
01/01/2022,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,Bed days in RP,3565
01/01/2022,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,Bed days in RP,3710
01/01/2022,SOMERSET NHS FOUNDATION TRUST,Bed days in RP,3915
01/01/2022,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,Bed days in RP,4090
01/01/2022,SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST,Bed days in RP,4135
01/01/2022,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,Bed days in RP,4140
01/01/2022,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,Bed days in RP,4540
01/01/2022,HUMBER TEACHING NHS FOUNDATION TRUST,Bed days in RP,4895
01/01/2022,ST MATTHEWS HEALTHCARE,Bed days in RP,4930
01/01/2022,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,Bed days in RP,4975
01/01/2022,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,Bed days in RP,5345
01/01/2022,SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST,Bed days in RP,5455
01/01/2022,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,Bed days in RP,6070
01/01/2022,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,Bed days in RP,6210
01/01/2022,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,Bed days in RP,6215
01/01/2022,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,Bed days in RP,6485
01/01/2022,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,Bed days in RP,6775
01/01/2022,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,Bed days in RP,6785
01/01/2022,NORTH EAST LONDON NHS FOUNDATION TRUST,Bed days in RP,6940
01/01/2022,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,Bed days in RP,7720
01/01/2022,DEVON PARTNERSHIP NHS TRUST,Bed days in RP,8215
01/01/2022,MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST,Bed days in RP,8465
01/01/2022,BLACK COUNTRY HEALTHCARE NHS FOUNDATION TRUST,Bed days in RP,9080
01/01/2022,LEICESTERSHIRE PARTNERSHIP NHS TRUST,Bed days in RP,9145
01/01/2022,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,Bed days in RP,9685
01/01/2022,OXLEAS NHS FOUNDATION TRUST,Bed days in RP,9695
01/01/2022,SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST,Bed days in RP,10250
01/01/2022,OXFORD HEALTH NHS FOUNDATION TRUST,Bed days in RP,10615
01/01/2022,SOUTHERN HEALTH NHS FOUNDATION TRUST,Bed days in RP,11735
01/01/2022,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,Bed days in RP,11860
01/01/2022,HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,Bed days in RP,11925
01/01/2022,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,Bed days in RP,11940
01/01/2022,KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST,Bed days in RP,12195
01/01/2022,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,Bed days in RP,13720
01/01/2022,PENNINE CARE NHS FOUNDATION TRUST,Bed days in RP,14290
01/01/2022,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,Bed days in RP,14495
01/01/2022,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,Bed days in RP,15070
01/01/2022,"BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST",Bed days in RP,15395
01/01/2022,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,Bed days in RP,17265
01/01/2022,ST ANDREW'S HEALTHCARE,Bed days in RP,17665
01/01/2022,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,Bed days in RP,18800
01/01/2022,WEST LONDON NHS TRUST,Bed days in RP,19640
