01/04/2022,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,Bed days in RP,160
01/04/2022,SCHOEN CLINIC YORK,Bed days in RP,160
01/04/2022,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,Bed days in RP,240
01/04/2022,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,Bed days in RP,295
01/04/2022,NEWMARKET HOUSE HEALTHCARE LTD,Bed days in RP,300
01/04/2022,WHITTINGTON HEALTH NHS TRUST,Bed days in RP,305
01/04/2022,BRAMLEY HEALTH,Bed days in RP,330
01/04/2022,JOHN MUNROE HOSPITAL,Bed days in RP,390
01/04/2022,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,Bed days in RP,405
01/04/2022,RIVERDALE GRANGE LIMITED,Bed days in RP,445
01/04/2022,EQUILIBRIUM HEALTHCARE,Bed days in RP,450
01/04/2022,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,Bed days in RP,500
01/04/2022,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,Bed days in RP,525
01/04/2022,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,Bed days in RP,545
01/04/2022,MAKING SPACE,Bed days in RP,630
01/04/2022,NEWBRIDGE CARE SYSTEMS,Bed days in RP,880
01/04/2022,ISLE OF WIGHT NHS TRUST,Bed days in RP,905
01/04/2022,ACTIVE PATHWAYS,Bed days in RP,925
01/04/2022,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,Bed days in RP,930
01/04/2022,SOLENT NHS TRUST,Bed days in RP,985
01/04/2022,CARETECH COMMUNITY SERVICES (NO.2) LIMITED,Bed days in RP,990
01/04/2022,ELLERN MEDE,Bed days in RP,1060
01/04/2022,ST MARTHA'S,Bed days in RP,1200
01/04/2022,NAVIGO HEALTH AND SOCIAL CARE CIC,Bed days in RP,1795
01/04/2022,THE HUNTERCOMBE GROUP,Bed days in RP,2115
01/04/2022,CHESWOLD PARK HOSPITAL,Bed days in RP,2330
01/04/2022,ST MAGNUS HOSPITAL,Bed days in RP,2380
01/04/2022,LIVEWELL SOUTHWEST,Bed days in RP,2655
01/04/2022,INMIND HEALTHCARE - HEAD OFFICE,Bed days in RP,3350
01/04/2022,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,Bed days in RP,3430
01/04/2022,SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST,Bed days in RP,3585
01/04/2022,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,Bed days in RP,3845
01/04/2022,SOMERSET NHS FOUNDATION TRUST,Bed days in RP,3845
01/04/2022,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,Bed days in RP,3965
01/04/2022,SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST,Bed days in RP,4075
01/04/2022,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,Bed days in RP,4125
01/04/2022,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,Bed days in RP,4775
01/04/2022,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,Bed days in RP,4815
01/04/2022,HUMBER TEACHING NHS FOUNDATION TRUST,Bed days in RP,4835
01/04/2022,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,Bed days in RP,5095
01/04/2022,ST MATTHEWS HEALTHCARE,Bed days in RP,5095
01/04/2022,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,Bed days in RP,5330
01/04/2022,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,Bed days in RP,5610
01/04/2022,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,Bed days in RP,5875
01/04/2022,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,Bed days in RP,6710
01/04/2022,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,Bed days in RP,6895
01/04/2022,NORTH EAST LONDON NHS FOUNDATION TRUST,Bed days in RP,6965
01/04/2022,DEVON PARTNERSHIP NHS TRUST,Bed days in RP,7910
01/04/2022,MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST,Bed days in RP,8100
