01/07/2022,SCHOEN CLINIC YORK,Bed days in RP,95
01/07/2022,TURNING POINT,Bed days in RP,145
01/07/2022,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,Bed days in RP,185
01/07/2022,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,Bed days in RP,215
01/07/2022,NEWMARKET HOUSE HEALTHCARE LTD,Bed days in RP,305
01/07/2022,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,Bed days in RP,325
01/07/2022,WHITTINGTON HEALTH NHS TRUST,Bed days in RP,325
01/07/2022,BRAMLEY HEALTH,Bed days in RP,340
01/07/2022,EQUILIBRIUM HEALTHCARE,Bed days in RP,435
01/07/2022,RIVERDALE GRANGE LIMITED,Bed days in RP,510
01/07/2022,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,Bed days in RP,515
01/07/2022,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,Bed days in RP,585
01/07/2022,MAKING SPACE,Bed days in RP,600
01/07/2022,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,Bed days in RP,645
01/07/2022,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,Bed days in RP,740
01/07/2022,ACTIVE PATHWAYS,Bed days in RP,880
01/07/2022,NEWBRIDGE CARE SYSTEMS,Bed days in RP,885
01/07/2022,ISLE OF WIGHT NHS TRUST,Bed days in RP,980
01/07/2022,CARETECH COMMUNITY SERVICES (NO.2) LIMITED,Bed days in RP,1025
01/07/2022,SOLENT NHS TRUST,Bed days in RP,1270
01/07/2022,ST MARTHA'S,Bed days in RP,1305
01/07/2022,ELLERN MEDE,Bed days in RP,1340
01/07/2022,NAVIGO HEALTH AND SOCIAL CARE CIC,Bed days in RP,1825
01/07/2022,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,Bed days in RP,2455
01/07/2022,CHESWOLD PARK HOSPITAL,Bed days in RP,2475
01/07/2022,ST MAGNUS HOSPITAL,Bed days in RP,2550
01/07/2022,LIVEWELL SOUTHWEST,Bed days in RP,2900
01/07/2022,INMIND HEALTHCARE - HEAD OFFICE,Bed days in RP,3475
01/07/2022,SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST,Bed days in RP,3480
01/07/2022,PARTNERSHIPS IN CARE LTD,Bed days in RP,3625
01/07/2022,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,Bed days in RP,3760
01/07/2022,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,Bed days in RP,3765
01/07/2022,SOMERSET NHS FOUNDATION TRUST,Bed days in RP,3845
01/07/2022,SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST,Bed days in RP,3880
01/07/2022,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,Bed days in RP,4330
01/07/2022,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,Bed days in RP,4440
01/07/2022,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,Bed days in RP,5040
01/07/2022,HUMBER TEACHING NHS FOUNDATION TRUST,Bed days in RP,5085
01/07/2022,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,Bed days in RP,5310
01/07/2022,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,Bed days in RP,5435
01/07/2022,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,Bed days in RP,5550
01/07/2022,ST MATTHEWS HEALTHCARE,Bed days in RP,5550
